brand,country,medium,headline,industry
World AIDS Day,France,Direct Market,600 000 hivpositives babies are born every year solidarity fight diseases hiv,Public interest & Non-profit
Swedish Filmindustry,Sweden,Print,opera now at movie theatres,"Culture, Recreation & Sport"
ISHR,Germany,Print,about 50 percent of all landmine victims are children,Public interest & Non-profit
IKEA,Bulgaria,Outdoor,reverse the irreversible ikea reminds you to switch off the lights for earth hour,"House, Garden & Pets"
Kelly,New Zealand,Outdoor,shark groper snapper squid herring predators and prey on now,"Culture, Recreation & Sport"
Hallmark,India,Print,a card says a lot hallmark,Office equipment
IKEA,Germany,Print,tiramisu 1 pour two packs of cream into a blanda blank bowl and whip them using a koncis balloon whisk add the same amount of mascarpone mix up and put aside 2 thoroughly mix two full trivsel kettles of espresso with half that amount of coffee liqueur into a fläckig jug using a förnuft tablespoon 3 dip both sides of the sponge fingers in the coffee mix layer into a mixtur serving dish then spread half of the cream with skrapa rubber spatula 4 repeat creating a second layer add re,"House, Garden & Pets"
Prolong,Chile,Print,more time for your fantiasies prolong against premature ejaculation,Pharmaceutical
,,Print, a fag after a meal guarantees eternal bliss this is an antismoking campaignthe visuals are chinese ceremonial devices for mourning the dead,Public interest & Non-profit
Swedbank,Sweden,TV & Cinema,save for a good pension well show you how,Financial & Legal services
Quebec Health Ministry,Canada,Print,you have too much to loose gambling help and referral,Public interest & Non-profit
Bafco,United Arab Emirates,Print,dont put up with difficult desks any longer is your old desk awkward to deal with insist on an intelligent workspace that doesnt give you a hard time at work a good desk provides the perfect posture when operating a keyboard for long hours ergonomics is half the battle and an office layout must be planned properly for all staff to benefit especially the boss fight for better working conditions,"House, Garden & Pets"
Sesc,Brazil,Print,master your business language technical german course for entrepreneurs open now,Education
Swiss Life,Switzerland,Print,weve got everything we need a loan for all lifes twists and turns flexible financial plans,Financial & Legal services
,Italy,TV & Cinema,for those who have hearing loss every sound is amazing,Beauty & Health
Burger King,United Arab Emirates,Print,open late now open until 4am every night burger king have it your way,Food & Beverages
Soakies,India,Print,super absorbent tissues,"House, Garden & Pets"
,,Print,just one is enough,"House, Garden & Pets"
Colorado,United States,Print,we were not born to stay inside,Transport & Tourism
Hans Brinker,Netherlands,Print,sorry for being excellent in losing your luggage,Transport & Tourism
Sigortam,Turkey,Outdoor,you dont earn easy dont lose easy,Financial & Legal services
Self Promo,Nigeria,Cyber,every hustler deserves his break happy workersday,Internet sites & Services
Oxfam,Spain,Print,introducing the first coffee that helps you sleep better,Food & Beverages
Microtech Fineline,Kazakhstan,Print,the new microtech finelineg,Office equipment
Ubisoft,United States,TV & Cinema,cant run cant hide,Toys & Games
The Indian Debating Union,Japan,Print,shouldnt every rupee designated for infrastructure go into infrastructure corruption lets talk it out,Public interest & Non-profit
,Taiwan,Print,please plant the strawberry on my lips instead of my body,Retail & Distribution
Bonux,Saudi Arabia,Print,removing stains just got easier,"House, Garden & Pets"
Pantene,Germany,Ambient & Interactive,stops it antidandruff shampoo by pantene prov,Beauty & Health
The Sprout,Canada,Print,i never have trouble getting my hands on a plump breast or thigh but its always the same im not fulfilled and the experience leaves me feeling tired and greasy afterward im looking for something new fresh stimulating,"Culture, Recreation & Sport"
adidas,,Print,check the new reeboks adidas love competition,"Apparel, Clothing, Footwear & Accessories"
Moks,Egypt,Print,if cooking is your happy place moks will take you beyond that place,Food & Beverages
,Taiwan,TV & Cinema,ride on the double meaning of share the redbonusin chinese the gril in the tvc is willing to share her red lipstick no matter how much it shows the spirit of that insurance agency that alway gives you more than your own bonus girl awanna try my new lipstick girl bme ill use a lot girl athats ok girl bsorry theres only little left girl anever mind vonot only pay you bonus and we usually give you more china life big red over 70 gain sharing guaranteed china life,Financial & Legal services
Audi,Spain,Print,keep your distance the new audi q5 with adaptive cruise control youll never drive alone,Automotive & Services
Samsung,Brazil,Print,meanwhile the first washing machine patent was denied to tabitha babbitt  a special project for gender equality in technology,Electronics & Audio-Visual
Winery,Argentina,Print,wine awaits you,Alcoholic drinks
Foundation Abbé Pierre,France,Print,the city is hidden within all our cities warning more and more people are living in housing that isnt housing act,Public interest & Non-profit
Audi,Italy,Print,new audi a4 avant turn on your senses,Automotive & Services
Volkswagen,Italy,Ambient & Interactive,polo tough,Automotive & Services
,Taiwan,Print,just a reminder that not everything rests in peace,Public interest & Non-profit
Godrej,India,Print,refrigerator with an fm radio and mp3 player,Electronics & Audio-Visual
,China,Print,missing person son we thought you would continue your study after you graduate or getting a well paid job and on your way to success but who could have guessed that youre gone please contact your parents,"Apparel, Clothing, Footwear & Accessories"
Tassimo,United States,TV & Cinema,7 different beverages one smart little bot,Electronics & Audio-Visual
Olivio Bertolli,United Kingdom,TV & Cinema,bertolli olive oil  the heart and soul of olivio,Food & Beverages
Combat,Egypt,Print,the most effective solution,"House, Garden & Pets"
Avon,Brazil,Print,upsidedown fairytale nails collection befriend the frogs until you find your handsome prince,Beauty & Health
Pantene,,Print,the haircare collection,Beauty & Health
Pepsi,Bolivia,Print,relive for now,Food & Beverages
,China,Print,blindness is  getting more and more blurry as days go by,Pharmaceutical
Volvo,United States,Print,ever wonder why ambulances have sirens but tow trucks dont simply put its because life is very fragile and unlike cars people are living beings worthy of sirens and urgency so volvo builds the safest cars available because cars are replaceable but people are not,Automotive & Services
,Italy,Print,whatever work asks you,Automotive & Services
France Info,France,Print,information is a vocation,Media & Publishing
MADD,Canada,Print,last round with my buddies,Public interest & Non-profit
Panadol,Indonesia,Ambient & Interactive,unbearable headache panadol extra,Pharmaceutical
,United Arab Emirates,Print,the difference between reading the s or making it,Professional & Public services
Mucho Burrito,Canada,Outdoor,fresher than a newborn chihuahua but way more tasty,Food & Beverages
Nilkamal Plastic Chairs,India,Print,indias most trusted nilkamal plastic chairs,"House, Garden & Pets"
Cut-Throat Barbers,Netherlands,Print,the blood full moon will rise this tuesday we will be expecting you,Beauty & Health
,China,Print,curves make a woman attractive and chin up as a human being,Retail & Distribution
Veolia,Canada,Direct Market,veolia transport to set the standard for managing safe and sustainable mobility solutions veoliatransportqcca,Transport & Tourism
Brandhouse Drive Dry,South Africa,Direct Market,drink responsibly this festive season,Professional & Public services
IKEA,Sweden,Print,link different,"House, Garden & Pets"
,China,Print,visual an oar with the name of a famous novel disagree with working hard for nothing and letting others enjoy your rewards please respect copyrights,Public interest & Non-profit
,United States,Print,crispy baked pieces of real apple the snack nature intended,Food & Beverages
,United States,Print,if retirement is the barrier to discussion lets send the word packing with a gold watch as a parting gift,Financial & Legal services
Peugeot,Turkey,Print,stop  kiss  start technology today is maybe your first valentine together or maybe youve been through this before but we are sure you will leave the house with the same enthusiasm you will get dressed nice and go to pick her up with your peugeot 208 after waiting for a while in front of her house she will appear with a lovely dress that will be the moment that will first cause your hearth to skip a beat you will try to look at her while you are driving but of course you will keep your eyes on the road then red light you will slow down slow down and stop at the moment you look at her at that exact moment peugeot 208s engine will also stop automatically there will be a moment of hush the red light will count down… 35 34 33… your eyes will meet and you will give her an innocent kiss 3 2 1… the light will turn green the engine will start back and you will stand on with a smile on your face the new peugeot 208s ehdi stopstart technology will offer you fuel saving and an environmentally responsible drive but most importantly it will help you to be more romantic and maybe with a nice surprise it will make this valentines day unforgettable for you,Automotive & Services
IAVA,United States,Print,we know where youre coming from 99 of americans try to avoid getting caught in traffic 1 of americans try to avoid getting caught in an ambush,Public interest & Non-profit
AJARP,Angola,Ambient & Interactive,drugs are a prison get free,Public interest & Non-profit
Sony,Brazil,Ambient & Interactive,now with 12x optical zoom and 24x digital zoom much more quality for small details,Electronics & Audio-Visual
Sunlife,China,Print,incredible strength,"House, Garden & Pets"
MTV,France,TV & Cinema,brian is an average student… hes more interested in girls than in classes  hes going to meet a hugely successful animated gif edgy super cool and so sexy… all the girls are crazy about him first totally jealous brian is quickly going to follow the example of his mentor and will eventually be rewarded,Media & Publishing
,Singapore,Print, who said you cant have everything visual deck of winning cards,Automotive & Services
Mondadori,Italy,Print,ive just come through a twist in the tale 30 off kid books until the 31st of may,Media & Publishing
KFC,Taiwan,TV & Cinema,when a boy has entered the army his parents bring some fired chicken to visit him however when he finds that it is not kfcs chicken he acts like a child and cries on the floor  monitor li zhihong someone wants to see you mother my dear son it is your beloved fried chicken you try this son it is not kfcs chicken woowoowoo you know its not kfcs chicken vo kfc is the only choice,Food & Beverages
Kafe Fontana,India,Print,sixers fours and a whole lot more all the action of ipl cup cricket with copious amounts of champagne and beer live at kafe fontana,"Culture, Recreation & Sport"
Sony,South Korea,Print,hello elvis like the king of rock  roll who captured the hearts of many women feel the passion with full of vitality using xba sound,Electronics & Audio-Visual
UNICEF,,Print,love the world cup but love the children more to most people world cup means passionate carnival but to the children who live in the blikkiesdorp near cape town the world cup means homeless bad living environment and a broken football dream since 2009 about 15000 local poor were forced to leave their home and moved to blikkiesdorp  the temporary relocation area tra built by the government for them in this tra there are only 3 square meters living space per person the children here are constantly threaten by hiv tuberculosis and vicious crimes these children have contributed too much for the world cup maybe its our turn to do something for them,Public interest & Non-profit
Fleischmann,Brazil,Print,impossible to resist,Food & Beverages
Powder Mountain,United States,Print,powder mountain vs louisiana purchase for the record we failed 7th grade history and geography but were guessing this how things would stack up powder mountain as big as it gets wwwpowdermountaincom,Transport & Tourism
Rolex,Germany,Print,even a copy gives you a distinctive feeling,"Apparel, Clothing, Footwear & Accessories"
Havaianas,Brazil,Print,if colour didnt draw attention postits would be white,"Apparel, Clothing, Footwear & Accessories"
Volkswagen,India,Print,bixenon headlamps from volkswagen,Automotive & Services
Senator Koko Pimentel,Philippines,Outdoor,no to flying voters use your head register and vote well if not the philippines gets cheated again register at the nearest comelec office deadline october 31 2012,Public interest & Non-profit
Colorado,United States,Print,some things happen exactly once,Transport & Tourism
Alerj,Brazil,Cyber,google maps – end of the road a google maps intervention designed to increase driver awareness,Internet sites & Services
Maclee Express,,Print,all you need on document solutions and office supplies now in miami beach,Office equipment
,India,Ambient & Interactive,ripoff collection monte carlo jeans,"Apparel, Clothing, Footwear & Accessories"
Josefinas,,Print,presenting the i walked into something collection fashion against domestic violence,"Apparel, Clothing, Footwear & Accessories"
Queer Lisboa,Portugal,Print,surprise surprise queer lisboa 21 is here 16 to 24 september cinema são jorge,"Culture, Recreation & Sport"
Glidden Paints,Panama,Print,all the colors that you see without the smell that you imagine,Industrial & Agricultural
Sunrise Department Store,Taiwan,Print,you only can prostrate others if you dont have your own icon,Retail & Distribution
Mitsubishi,Australia,Outdoor,australias first volume produced electric car is on sale now,Automotive & Services
Titus,United States,Print,first to sign at titusticomrockstar29er to have his or her name legally changed to rockstar 29er will on completion receive as ad states his namesake a 2010 titus rockstar 29er value 6265,Automotive & Services
National Center for Problems of Healthy Lifestyle Development,,Print,stop abortion,Public interest & Non-profit
Cultura,France,Print,up to 3120 hours of live music live and more live everywhere in france throughout the 60 cultura retail outlets over 250 concerts and showcases from 14th may until 8th june,Retail & Distribution
,Taiwan,Print,what can you do if your fridge is going to repair either wrap your food like mummies or you can loan a fridge free of charge from whirlpool,Electronics & Audio-Visual
Infinito,Germany,Print,perfect protection for your vegetables,Industrial & Agricultural
Yodora,Colombia,Outdoor,you look as good as you smell,Beauty & Health
Perth Zoo,Australia,Outdoor,come to the zoo before the zoo comes to you,"Culture, Recreation & Sport"
Aldi,Australia,TV & Cinema,ready when youre not,"House, Garden & Pets"
City of Milwaukee Health Department,United States,Print, your baby sleeping with you can be just as dangerous copy babies can die when sleeping in adult beds always put your baby to sleep on his back in a crib if you cant afford a crib call 414 2868620,Pharmaceutical
Montage Health,United States,Print,hes not the only one who needs a walk,Beauty & Health
MSWA,Australia,Print,with ms you never know whats coming next help us stand up to ms donate today at mswaorgau,Public interest & Non-profit
Has hali,,Print,the grace of the past is now praised in our collections,"House, Garden & Pets"
Surfrider Foundation,France,Outdoor,everything must disappear,Public interest & Non-profit
Wonderbra,France,Print,wonderbra available soon in the united arab emirates,"Apparel, Clothing, Footwear & Accessories"
Nehru Zoological Park,India,Print,my son never fusses while eating his greens he cant get enough of them be a proud parent adopt an animal for details contact the curator nehru zoological park on 094408 10162,"Culture, Recreation & Sport"
Suzuki,Russia,Print,fulltime forward,Automotive & Services
,Malaysia,Print,the story of the chili claimsmall ingredientsbig achievementi produce the kind of food that make people ask for more a philosophical print campaign from the chef of this new restaurant,Food & Beverages
West Australian Ballet,Australia,Print,dracula tickets at waballetcomau,"Culture, Recreation & Sport"
Young Directors Award,France,TV & Cinema,directing its in your bones,"Culture, Recreation & Sport"
Welho,Finland,Outdoor,welho customers are at home anywhere and everywhere levitunturi lapland,Electronics & Audio-Visual
Kult,Latvia,Print,the great story starts with a small,Alcoholic drinks
Origami,Italy,Print,mixed sushi,Food & Beverages
Gay Men’s Health Crisis,United States,Print,the us has tested positive for discrimination today gay and bi men are still turned away denied the right to donate blood help end the ban its time for science not stigma,Beauty & Health
Pepsi,Lebanon,Print,the obvious choice,Food & Beverages
Brother,Chile,Print,the only industrial asset of microsoft is human imagination fred moody,Education
TMB,Spain,Print,travel by metro help the planet,Transport & Tourism
Surfrider Foundation,France,Print,busted help us to sue the polluters donate,Public interest & Non-profit
monster.com,Finland,Print,its brainless to work in a job you dislike new jobs available at monsterfi great job,Professional & Public services
,Mexico,Print,now that you dont need your molcajete create a very functional grill you are going to need del fuerte sauces natural like morter made,Food & Beverages
Ada,France,TV & Cinema,you always regret not renting a car,Professional & Public services
Portuguese Federation of Deaf People,Portugal,Print,stay cool this isnt a robbery its a t portuguese sign language has 26 letters together they form a vocabulary shared by more than 80000 people that can talk your ears off just by using their hands dont miss out join the conversation deaf people speak portuguese too learn to listen,Public interest & Non-profit
McDonald's,China,Print,my favorite summer homework,Food & Beverages
American Association of Blood Banks,United States,TV & Cinema,give blood,Public interest & Non-profit
,Germany,Ambient & Interactive,serviceplan hamburg urgently requires a graphic designer with it skills,Professional & Public services
,China,Print, a playing a present a decoration actually what you have is a cute pet please assume the responsibility like an adopter should,Public interest & Non-profit
McCormick,Mexico,Print,your food will get prettier,Food & Beverages
Nurofen,United Kingdom,Print,dont let that time of the month hold you back nurofen express period pain starts getting to work in just 10 minutes so you dont need to stop when your period pain starts,Beauty & Health
Samsung,India,Print,next is what,Electronics & Audio-Visual
Christian Women's Job Corp,United States,Print,dreams can come true but not until someone helps wake you up,Public interest & Non-profit
Phoenix City,China,Print,fivestar dream home,Real estate
Fondation Abbé Pierre,France,Outdoor,for millions of people trains arent the only places they feel crowded,Public interest & Non-profit
Vegan Fest,Spain,Print,this is not the missile that will exterminate everyone who eats chicken it is a radish come and meet us we will not bite you,"Culture, Recreation & Sport"
Rally Car Wax,South Africa,Print,its no ordinary wax,"House, Garden & Pets"
Drive-in Box,Brazil,Print,park whatever you wantjust make sure you found the gspot,Professional & Public services
,China,Print,online business unlimited speed more informationmore exciting lycos,Internet sites & Services
FUSO,Thailand,Print,fuso no1 in the world,Automotive & Services
Smart,Spain,Ambient & Interactive,reinforced steel structure,Automotive & Services
Consol Energy,United States,Print,were working down here to keep america running up there the coal we produce helps fuel more than half of americas electricity something to think about the next time you turn on well just about anything consol energy americas on switch,Industrial & Agricultural
Minas Gerais,Brazil,Print,animals can only scream you can prevent,Public interest & Non-profit
Aftonbladet,Sweden,Outdoor,almost as good as the paper,Media & Publishing
Raptors,Russia,TV & Cinema,checked there are no insects,"House, Garden & Pets"
Adriano Azevedo Music School,Brazil,Outdoor,learn how to play boy bands are not a trend anymore,Education
Volkswagen,Malaysia,Direct Market,start the year with great horsepower,Automotive & Services
DHL,United States,Print,no weight limits,Transport & Tourism
Atlantis Travel Agency,United Arab Emirates,Print,weve heard that holiday romances have been known to happen check into another world,Transport & Tourism
Mineirinho,Brazil,Print,a new maneuver that every surfer will try cutout sugar your life your flavour,Food & Beverages
MTV,Germany,Print,kurt cobain aberdeen in february 1981 on his fourteenth birthday a lanky young man is faced with a decision bicycle or guitar if the opts for the bike hell save himself bloody fingers and stress from the neighbours he doesnt spare himself the stress with ignorant assholes he doesnt keep still but hes too quiet his self doubt about growing ever stronger as are the pains in his stomach he doesnt find an outlet but he does discover heroin he takes high doses and goes right down a shotgun prevents the impact aberdeen in february 1981 kurt cobain decides against the bicycle,Media & Publishing
Newport Beach Film Festival,United States,TV & Cinema,film is hard,"Culture, Recreation & Sport"
Hornbach,Germany,Print,this rooms only got space for one your project only belongs to you,Retail & Distribution
Betadine,United Arab Emirates,Print,effective against infection,Beauty & Health
Bafco,United Arab Emirates,Print,this is elliot he still lives with his mother this is his car this is his best friend his idea of fun how he spends most of his evenings and this is his job the only thing that stops elliot from putting a bullet through his middleaged balding head is coming to work everyday where he can be more productive in his ergonomically designed office chair and feel like a real player,Office equipment
Carboveg,Italy,Print,stop the gas war,Pharmaceutical
Urbane,China,Print,a passing fancy or a love that grows show everyone you care by choosing a greener hong kong,Public interest & Non-profit
VIP Magazine,Brazil,Print,pick one and place it on your work desk 998 of women are pushovers for babies on fathers day vip helps those who arent fathers yet vip the male magazine every man loves,Media & Publishing
Honda,Spain,Print,afs adaptive front lighting system,Automotive & Services
Alka Seltzer,Spain,Print,alka seltzer for the vengeance will be terrible,Pharmaceutical
Glade,Brazil,Print,youd better know a good gardener your bathroom will need one,"House, Garden & Pets"
Alamo,United States,Print,surprise us104 weekly on a compact car in florida,Professional & Public services
McDonald's,Argentina,Print,package inspired by the big mac of 2013 50 years of changes only outside,Food & Beverages
DOE,United Kingdom,TV & Cinema,wise up slow down expect the unexpected,Public interest & Non-profit
Land Rover,United Kingdom,Print,with electronic traction control,Automotive & Services
EIS.de,Germany,Print,make love for less,Retail & Distribution
,Canada,Print,rated dtbn this network may cause you to neglect that deserve to be neglected anyway slice my vice is slice,Media & Publishing
El Campito Dog's Refuge,Argentina,Print,they dont discriminate why should you adopt a street dog,Public interest & Non-profit
,Spain,Print,lucy in nightmareland some children have it harder than others here at save the children we fight for the rights of worlds most disadvanteged children and to do this we need volunteers like you save the children for further information wwwsavethechildrenes,Public interest & Non-profit
U.S. Xpress,United States,Print,if your miles are disappearing your job may be next with 1000 trucking companies going out of business this year alone new opportunities are in short supply but even now us xpress is growing and weve got plenty of consistent miles and freight with your name on them call today,Professional & Public services
Cedeca,Brazil,Print,not every child waits happily for a goodnight kiss report any case of sexual violence against children call 100,Public interest & Non-profit
University of Colorado,United States,Outdoor,rock formations by day rock stars by night experience a range of credit and noncredit courses that will blow your mind,Education
,United Kingdom,Print,winner of the best ski chalet in a slightly fictional town award 2009 welcome to rudeville home of rudechalets,Transport & Tourism
Attack,Thailand,Print,new deep breathtaking fragrance detergent,"House, Garden & Pets"
,United States,Print,today we celebrate the guy who said hey lets fry this thing,Food & Beverages
Hero Baby,Spain,Print,with hero baby good night the end of the tale never comes,Food & Beverages
,China,Print,the story of punishing evil at jiang zha kou,Public interest & Non-profit
Volkswagen,South Africa,TV & Cinema,for the love of the drive,Automotive & Services
NHL,United States,TV & Cinema,history will be made,"Culture, Recreation & Sport"
Young British Designers,United Kingdom,Outdoor,design  conquer discover the greatest new homegrown fashion talent at youngbritishdesignerscom,Professional & Public services
Gondola Veneziana,China,Print,freshly made angel hair,Food & Beverages
PopClik Headphones,United States,Print,get away,Electronics & Audio-Visual
,China,TV & Cinema,a young man was going abroad he missed his wife very much luckily the fight provied a phone for him  vo even is seems smallwe care for you from our heart super fly for every special feeling,Transport & Tourism
Nestlé,Australia,Print,scoop of connoisseur cafe grande ice cream  the finest ingredients arranged by artists,Food & Beverages
Cuyahoga County Opioid Marketing Task Force,United States,Print,opioids kill more than pain know the risks,Public interest & Non-profit
Lebanese Autism Society,Lebanon,Direct Market,to understand children with autism sometimes you have to read them from a different angle,Public interest & Non-profit
Orange,France,Print,deauville welcomes america we share passion for film thats why orange is proud to sponsor the deauville american cinema festical for the 3rd year running lets celebrate the best of american film together,Electronics & Audio-Visual
,China,TV & Cinema,life is compared to a road in this commercial for a hong kong bus company the concept is summarized in the mvo  thousands and thousands of footsteps from roads whenever there are people there are roads there is a great chance that we will appear no matter how far away colon motor bus intercut with faces of the young and very old on the face of the old man we see a lot of lines on his face suggesting the roads  that he has encountered during his life,Professional & Public services
Gardena,United Arab Emirates,Print,garden cafe now open to refresh your senses,"Culture, Recreation & Sport"
,Mexico,Print,transplant is when you let that someone else use what you already have,Professional & Public services
Tracylocke,United States,Print,at boot camp we wont yell in your face wake up at 5am or run you until you vomit unless you show up looking like this,Professional & Public services
Wabi,Brazil,Print,clothes to get all the girls in the parties fallwinter 2008,"Apparel, Clothing, Footwear & Accessories"
,China,Print, attention you can dispose your embryo here computer waste that is not properly handled will release a lot of heavy metal seriously affecting the health of the embryo,Public interest & Non-profit
R.I.F.L.,United Arab Emirates,Outdoor,kill guns,Public interest & Non-profit
Complot Creativity School,Spain,Print,if typography didnt exist to take care of letters one day h tired of being phonetically ignored would change his job and would offer his services as a coat stand to an unscrupulous designer so nobody would ever be able to hablar talk again or express their feelings and human kind would be condemned to wander aimlessly for evermore typography course more important in your life than you can imagine registration open complot creativity school,Education
Club Shandy,Namibia,Print,more than just a pretty package,Alcoholic drinks
Toulouse,France,TV & Cinema,toulouse cleaner we decide all,Public interest & Non-profit
BNP Paribas,France,Print,graduated with specific talents seeked,Financial & Legal services
Dept of Environnement,Ireland,TV & Cinema,pay attention or pay the price,Public interest & Non-profit
Fondation Cultura,France,Print,man discovered fire first and then culture straight after to prevent boredom,Public interest & Non-profit
Master Rental,Brazil,Print,easy fast and safe to rent a car because you dont accept anything from strangers,Professional & Public services
VillaSanta,Bolivia,Print,together we can change the lives of thousands of women by buying our products aid institutions in your city who fight against breast cancer,Food & Beverages
,China,Print,visualginkgo meslin cantonesea meal of ginkgo means the efforts that you put into fail to yield good results remind you of your business have you put everything into your business yet it still remains stagnant signofffor more luck with your businessromance or careerconsult thefung shiumistress madam kam,Professional & Public services
Optimum health gym,India,Print,fat when your desire lies somewhere in between,Beauty & Health
Sparkling Ice,United States,Print,be not afraid of pulling this tab be colorful be flavorful be awesomeful,Food & Beverages
Fosferpet,Brazil,Print,dont feed dengue zika vírus and chikungunya change your pets water daily,Food & Beverages
Carlsberg,Denmark,TV & Cinema,our beer our projects,Alcoholic drinks
Subaru,China,Print,the whold family big and small the small family car big enough to take the whole family,Automotive & Services
Dubai Healthcare City,United Arab Emirates,Direct Market,feel here early detection saves lives,Public interest & Non-profit
Mike’s Hard Punch,United States,Print,liquid gladiators in a sea of wussy drinks,Food & Beverages
,China,Print,hey finish it all,Public interest & Non-profit
Monkey Fist,United States,Print,cornered by the mob coco saw no alternative he faced the horde and let the punches fly,"Apparel, Clothing, Footwear & Accessories"
AvioTur,Brazil,Print,you better run aviotur last minute flights,Transport & Tourism
Neuf,France,TV & Cinema,all the artists you can name now in the neuf box,Professional & Public services
McDonald's,Canada,Outdoor,on your right,Food & Beverages
Aeromexico,Mexico,Print,travel before its too late,Transport & Tourism
,United States,Print,although you are miles apart us postal offices express delivery service helps you to convey your affection and close the gap between you and your loved ones,Professional & Public services
Greenpeace,China,Print,9600 the estimated number of orangutans sentenced to death every week so that we can enjoy new furniture and flooring whats the real rice of illegally logging the asian rainforest learn more at wwwgreenpeaceorgcn,Public interest & Non-profit
Sony,China,Print,the ultimate pleasure i hear that real pleasure comes from real music in 1992 a group of people got together in japan and with their effort and talents invented the md now theyve invented the wbs 20byte processing system which reduces the loss of micro signals enabling playback of the finest details in music this is the ultimate music pleasure,Electronics & Audio-Visual
Worksafe,Australia,Ambient & Interactive,unfortunately theres no easy fix when it comes to work place incidents there are no panel beaters precision painters restorations or cheap and readily available replacement body parts when you damage your body in a serious work place incident the injury is for life to highlight the consequences of poor work safety practices worksafe victoria brought to life the terrifying nature of work place incidents with this striking installation a vending machine designed to sell spare body parts,Public interest & Non-profit
OSO,Australia,Print,dont expect your food to look after itself,"House, Garden & Pets"
Boston Breakers,United States,Print,breakers 4 awkward silences 0 worldclass womens soccer 9 home games unlimited memories,"Culture, Recreation & Sport"
,China,Print,xie crusader of the east the name of the hero is twisted to refer to competitive pricing,Food & Beverages
Apple Beer,United States,Print,yeah itll give you a buzz if youre hypoglycemic the nonalcoholic apple beverage apple beer,Alcoholic drinks
ADESF,Brazil,Print,in 2055 yogurt lids will finally work live to see it quit smoking now,Public interest & Non-profit
The Home Depot,United States,Print,and the game goes on the home depot proud sponsor of the major league soccer,Retail & Distribution
Médecins sans Frontières - Doctors Without Borders,China,Print,try to locate these objects in the picture as quickly as possible dificultthose living in war and deprivation face a more difficult time to find these basic necessities,Public interest & Non-profit
Davivienda,,Print,barcelonabogota so far so close your international wire transfers travel faster and better through davivienda bank,Financial & Legal services
Swiss Lotto,Switzerland,Outdoor,every year we create over 20 millionaires,Toys & Games
Vauxhall,United Kingdom,TV & Cinema,make the world adjust to you,Automotive & Services
,China,Print,visual signages of sex hotels girls who leave home still get a bed to sleep on,Public interest & Non-profit
comma,Germany,Print,men love sensual women even more men love sensual women even more comma can change everything,"Apparel, Clothing, Footwear & Accessories"
Breathe Right,United States,Print,quit protesting sleep,Beauty & Health
NaturaSi,Italy,Print,eva bit it without washing it naturasi organic and biodynamic products not eating them is a sin,Food & Beverages
Lacoste,France,Print,protection in progress ,"Apparel, Clothing, Footwear & Accessories"
Heinz,United Kingdom,TV & Cinema,you cant eat without it,Food & Beverages
,France,Print,would you please mind removing my husbands penis from your mouth relaxation lessons shiatsu institute,Professional & Public services
Alzheimer's,South Africa,Print,helping you remember who they were when you cant forget who theyve become,Public interest & Non-profit
CDOT,United States,Outdoor,you drive holding a 24oz coffee so i wear safety gear,Public interest & Non-profit
DEFRA,United Kingdom,TV & Cinema,act on co2,Public interest & Non-profit
,Brazil,Ambient & Interactive,take out a condom and help the fight against aids,Public interest & Non-profit
Hyundai,Colombia,Print,new hyundai i40 vehicles with luxury cushions,Automotive & Services
,Sweden,Ambient & Interactive,summer is only 5 hours away www5hoursse,Transport & Tourism
Siemens,,Print,xxl fridges by siemens,"House, Garden & Pets"
Colgate,South Africa,Print,improve your profile,Beauty & Health
Ira Motoparts,Brazil,Print,in the transit you are the prey or predator ira motoparts in the mororcycle with you,Automotive & Services
Médecins sans Frontières - Doctors Without Borders,Australia,Print,civilian soldier immigrant dissident refugee rebel human médecins sans frontières provides emergency medical and humanitarian assistance to people caught up in disasters wars and devastating epidemics – regardless of their race religion or political conviction your donations allow us to remain impartial enabling our teams to get medicine food vaccines and healthcare to those who need it most wherever they are in the world,Public interest & Non-profit
Escala,Brazil,Ambient & Interactive,escala is moving to 300 carlos gomes ave,Professional & Public services
FEST,Serbia,Outdoor,whats your role,"Culture, Recreation & Sport"
Effie Awards,New Zealand,Print,bryan crawfords son is on the jury he sees through bullshit almost as quick as his dad,Professional & Public services
Saturn,United States,TV & Cinema,relax youre at saturn,Automotive & Services
,China,Print,spring encounters dragonfly,"Apparel, Clothing, Footwear & Accessories"
,China,Print,ive lost my job in the government because i took bribe now i wish i would have assigned a couple of acres of field so that i could utilize scientific method to do plantation and make some contribution to the country guangxi provincial vice chairman three ads by the guangzhou advertising association to warn people on corruption,Public interest & Non-profit
KIA,United States,TV & Cinema,the power to surprise,Automotive & Services
Honda,United States,Print,this is not new new has gotten old its exhausted winded and has seen better days so lets not call this new lets settle on something else lets simply call this next introducing the first creation from acura design studio — the zdx fourdoor coupe concept introducing next acura advance,Automotive & Services
Just,China,Print,i dont mind i do mind ten out of ten women dont speak their mind eleven out of ten men simply dont understand,"Apparel, Clothing, Footwear & Accessories"
Oakbank Easter Racing Carnivale,Australia,Print,the worlds biggest picnic race meeting,"Culture, Recreation & Sport"
,,Print,with 2 liveview modes the new nikon d3 is the only slr camera that lets you confirm focus or frame a shot using its ultrahigh definition 922000 pixes 3 insh lcd monitor nikon d3 focus faster,Electronics & Audio-Visual
Jeep,Austria,Outdoor,break free,Automotive & Services
,Singapore,Print,the dragon is destined to fly,Financial & Legal services
